s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-1280,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Ambaji (24’26’30N; 71’04’96E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023," Work stopped.
Due to flood and  link road damaged.
2nd RA Bill passed on 30.07.2025 ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,21.08.2023,,30.06.2024,08.09.2023,31.03.2026,,M/S Kanhaiyalal Pandy,0.9,8.76,8.54,17.299999999999997,86.28,,,,,,,,,,,,,,,,,
ENG-1761419859723-1281,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP bashir (24’24’48N; 71’07’31E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
 2nd RA Bill passed on 30.07.2025 ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,21.08.2023,300,30.06.2024,08.09.2023,31.03.2026,,M/S Kanhaiyalal Pandy,0.9,8.78,8.14,16.92,84.39,,,,,,,,,,,,,,,,,
ENG-1761419859723-1282,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Mangoor (24’36’30N; 70’59’4cz0E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
1st R/A bill of Rs 7;36;990/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,21.08.2023,300,30.06.2024,08.09.2023,31.03.2026,,M/S Magaram Choudhary,0.4,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-1283,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Rann  (24’29’46N; 71’00’11E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
2nd R/A Bill of Rs. 10;74;406/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,11.08.2023,300,30.06.2024,08.09.2023,31.03.2026,,M/S Kanhaiyalal Pandy,0.5,6.32,0,6.32,31.52,,,,,,,,,,,,,,,,,
ENG-1761419859723-1284,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP RKB  (24’40’27N; 71’05’21E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
 2nd RA Bill passed on 30.07.2025",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,21.08.2024,300,30.06.2024,08.09.2023,31.03.2026,,M/S Magaram Choudhary,0.4,0,7.4,7.4,36.91,,,,,,,,,,,,,,,,,
ENG-1761419859723-1285,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Wav  (24’28’48N; 71’00’03E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
2nd R/A Bill of Rs. 10;80578/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,21.08.2023,300,30.06.2024,08.09.2023,31.03.2026,,M/S Kanhaiyalal Pandy,0.9,6.39,0,6.39,31.87,,,,,,,,,,,,,,,,,
ENG-1761419859723-1286,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Bhajna(24’21’08N; 70’21’13E) of 56 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,,tendering under process,2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-1287,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Hannat (24’22’38N; 70’25’23E) of 56 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,,tendering under process,2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-1288,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Maru (24’33’48N; 70’59’43E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
2nd R/A Bill of Rs. 10;75;277/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,29-12-2023,300,11.09.2024,19.01.24,31.03.2026,,M/S Kanhaiyalal Pandy,0.9,6.33,0,6.33,31.57,,,,,,,,,,,,,,,,,
ENG-1761419859723-1289,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Dharnidhar(24’26’14N; 71’06’59E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
2nd R/A Bill of Rs. 621838/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,24/11/2023,300,04.10.2024,2023-08-11,31.03.2026,,M/S Devshrusti Builders; Banaskantha; Guj,0.9,12.37,0,12.37,61.7,,,,,,,,,,,,,,,,,
ENG-1761419859723-1290,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Dharnidhar(24’35’22N; 71’07’65E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2024,"Work stopped.
Due to flood and  link road damaged.
2nd R/A Bill of Rs . 9;81;020/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,24/11/2023,300,04.10.2024,2023-08-11,31.03.2026,,M/S Devshrusti Builders; Banaskantha; Guj,0.9,8.42,0,8.42,42,,,,,,,,,,,,,,,,,
ENG-1761419859723-1291,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Limboni (24’26’40N; 71’00’37E) of 123 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2023,"Work stopped.
Due to flood and  link road damaged.
2nd R/A Bill of Rs. 10;85;305/-pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,29-12-2023,300,09.11.2024,19.01.24,31.03.2026,,M/S Kanhaiyalal Pandy,0.9,6.38,0,6.38,31.82,,,,,,,,,,,,,,,,,
ENG-1761419859723-1292,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Surgudi  (24’21’10N; 70’59’56E) of 194 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2024," Work stopped.
Due to flood and  link road damaged.
1st RA Bill of Rs. 13;39;856/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,29-12-2023,300,07.11.2025,19.01.24,31.03.2026,,M/S Kanhaiyalal Pandy,0.7,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-1293,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Nadeshwari (24’21’51N; 70’03’40E) of 194 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2025,"Work stopped.
Due to flood and  link road damaged.
2nd R/A Bill passed on 06.08.2025 ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,24/11/2023,300,28.09.2024,08.12.2023,31.03.2026,,M/S Devshrusti Builders; Banaskantha; Guj,0.76,6.05,9.41,15.46,77.11,,,,,,,,,,,,,,,,,
ENG-1761419859723-1294,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Nadeshwari (24’21’01N; 70’02’36E) of 194 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2025,Work held up due to non-payement of pending bills of other OP towers  of same contractor. .,2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,24/11/2023,300,27.09.2024,2023-08-11,31.03.2026,,M/S Devshrusti Builders; Banaskantha; Guj,0.05,,,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-1295,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,Construction of surveillance cum OP Shelter (G+2) in AOR of BOP Nadeshawri (24’23’05N; 70’04’33E) of 194 Bn BSF under SHQ BSF Gandhinagar,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,20.05,04.05.2023,09.05.2024,"Work stopped.
Due to flood and  link road damaged.
1st R/A Bill of Rs. 9;40;960/- pending due to want of fund. ",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,24/11/2023,300,28.09.2024,2023-08-11,31.03.2026,,M/S Devshrusti Builders; Banaskantha; Guj,0.8,6.05,0,6.05,30.17,,,,,,,,,,,,,,,,,
ENG-1761419859723-1296,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,GNR,,C/O 10 NOS ACP SHELTER AT VARIOUS BOPS UNDER SHQ BSF GNR,Dept,ADG(B)/52nd  HLEC/2022-23/467-H dated 27/06/2022,,,,"Revised estimate submitted to FHQ  by HQ SDG(WC) BSF  Chd. On 26.08.2025
",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1297,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BHUJ,,C/O 03 NOS (G+ 1) OP TOWER FOR BOP 1061 (RISHIPAL) OF 74 BN BSF ABD 1111(MOHAN ) 03 BN BSF UNDER SHQ BSF BHUJ.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,,,,"Proposal for revised sanction has been returned vide FHQ L/No. 7215 dtd 19/11/2024 with the remark “ proposal for dropping of above scheme and re-submitting it afresh with fresh Enabling estimate based on structural requirement due to marshy terrain and latest DSR 2023.”

",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1298,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BHUJ,,C/O 03 NOS (G+2 ) OP TOWER FOR BOP 1063(BAJRANG ) OF 74 BN BSF AND 1097( LACHHU ) & 1109(LALIT ) OF 03 BN BSF UNDER SHQ BSF BHUJ.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,,,,"Proposal for revised sanction has been returned vide FHQ L/No. 7215 dtd 19/11/2024 with the remark “ proposal for dropping of above scheme and re-submitting it afresh with fresh Enabling estimate based on structural requirement due to marshy terrain and latest DSR 2023.”

",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1299,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BHUJ,,C/O 10 NOS ACP NAKA POINTS FOR BOP 1063 ( BAJRANG ); 1076( SANDEEP); 1079 (GAINDA); 02 NOS FOR 1083( SURBILA) OF 74 BN BSF AND 1087 (MALA) ;1090(GOKUL) ;1094( MADAN);02 NOS FOR 1120( SATISH); OF 03 BN BSF UNDER SHQ BSF BHUJ.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,,,,"Proposal for revised sanction has been returned vide FHQ L/No. 7215 dtd 19/11/2024 with the remark “ proposal for dropping of above scheme and re-submitting it afresh with fresh Enabling estimate based on structural requirement due to marshy terrain and latest DSR 2023.”

",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1300,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BHUJ,,C/O 01 NOS (G+1) OP TOWERFOR BOP 1125 (BALBIR ) AND 01 NO (G+2) OP TOWER FOR BOP 1142 OF 59 BN BSF UNDER SHQ BSF BHUJ.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,,,,"Proposal for revised sanction has been returned vide FHQ L/No. 7215 dtd 19/11/2024 with the remark “ proposal for dropping of above scheme and re-submitting it afresh with fresh Enabling estimate based on structural requirement due to marshy terrain and latest DSR 2023.”

",2025-10-25T19:17:42.244Z,2025-10-25T19:17:42.244Z,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1301,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,C/O 02 NOs Surveillance cum shelters (G+1) at BOP Prakash; Kelnore and 02 Nos Surveillance cum shelter (G+2)  at BOP SKT; Ashok of 50 BN BSF under   SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,63.54,24.09.2022,18.10.2022,WORK IS IN PROGRESS,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,05.12.2022,180,21.06.23,22.12.22,30.12.25,,M/S. Sanjay Builders; Barmer,0.58,35.75,7.12,42.87,67.47,,,,,,,,,,,,,,,,,
ENG-1761419859723-1302,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,C/O 02 NOs Surveillance cum shelters (G+1) at BOP Govind; gadra Fwd and 03 Nos Surveillance cum shelter (G+2)  at BOP Govind;Tamlore and Malana of 76 BN BSF under SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,80.88,24.09.2022,18.10.2022,WORK IS IN PROGRESS,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,05.12.2022,180,21.06.23,28.12.22,30.11.25,,M/S. STR Construction; Jaisalmer,0.5,17.22,24.78,42,51.93,,,,,,,,,,,,,,,,,
ENG-1761419859723-1303,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,C/O 02 NOs Surveillance cum shelters (G+1) at BOP NKT; DKT; 39-R & 03 Nos Surveillance cum shelter (G+2)  at BOP 27-R; LKT and MKT of 13 BN BSF under SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,95.47,24.09.2022,18.10.2022,WORK IS IN PROGRESS,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,05.12.2022,180,21.06.23,28.12.22,30.11.25,,M/S. STR Construction; Jaisalmer,0.5,41.28,0,41.28,43.24,,,,,,,,,,,,,,,,,
ENG-1761419859723-1304,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,C/O 03 NOs Surveillance cum shelters (G+1) at BOP Janpalia; Ekkal; Lalpur;  and 02 Nos Surveillance cum shelter (G+2)  at BOP Vikash & Bhanda of 83 BN BSF under SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,78.26,24.09.2024,18.10.2022,WORK IS IN PROGRESS,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,05.12.2022,180,21.06.23,21.12.22,30.10.25,,M/S. Heera Ram Kistura Ram; Barmer,0.62,48.9,10.53,59.43,75.94,,,,,,,,,,,,,,,,,
ENG-1761419859723-1305,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,Construction of 02 Nos ACP cum OP Shelters at BOP MKT & Rohiri of 13 BN BSF under SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,5.6,,,Revised estimate process for recommendation of IG.,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1306,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,Construction of 02 Nos ACP cum OP Shelters at BOP Dhola of 50 BN (now 28 BN) BSF under SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,4.3,,,Revised estimate process for recommendation of IG.,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1307,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,Construction of 02 Nos ACP cum OP Shelters at BOP AKP of 76 BN BSF under SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,4.3,,,Revised estimate process for recommendation of IG.,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1308,OP & ACP SHELTERS,BIMW(IA),,OP/ACP Shelters,Gujarat,BMR,,Construction of 02 Nos ACP cum OP Shelters at BOP Deva of 83 BN BSF under SHQ BSF Barmer.,Dept,NO.ADG(B)/52nd HLEC /2022-23/467-H   DATED -29.06.2022,4.3,,,Revised estimate process for recommendation of IG.,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.245Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-1309,TC Samba,OB(BS),Umbrella 2021-26,T/Camp Samba,Jammu,I/NAGAR,,C/O of infrastructure for Transit Camp at BSF Campus ; Sambha under SHQ BSF I/Nagar(SH:C/O GO's mess with 7 suits (G+1) ),CPWD,FHQ O/No 8242-52 dtd 07/12/2023,334.49,2024-05-31,2024-05-31,Work in progress,2025-10-25T19:17:42.245Z,2025-10-25T19:17:42.246Z,2024-07-31,,14.04.25,19.08.24,,,CPWD,65,,93.75,93.75,0.2802774372925947,In progress,,,,,,,,,,,,,,,,
ENG-1761419859723-1310,TC Samba,OB(BS),Umbrella 2021-26,T/Camp Samba,Jammu,I/NAGAR,,C/O of infrastructure for Transit Camp at BSF Campus ; Sambha under SHQ BSF I/Nagar(SH: C/O Sos mess with 49 Suites (G+3) ),CPWD,FHQ O/No 8253-63 dtd 07/12/2023,828,2024-05-31,2024-05-31,Work in progress,2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,2024-07-31,,06.09.25,23.08.24,,,CPWD,40,,169.45,169.45,0.20464975845410627,In progress,,,,,,,,,,,,,,,,
ENG-1761419859723-1311,TC Samba,OB(BS),Umbrella 2021-26,T/Camp Samba,Jammu,I/NAGAR,,C/O of infrastructure for Transit Camp at BSF Campus ; Sambha under SHQ BSF I/Nagar(SH: C/O 04 Nos 120 Men Barracks (G+3) ),CPWD,FHQ O/No 62-72 dtd 05/01/2024,2871.64,2024-05-31,2024-05-31,Work in progress,2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,2024-07-31,,06.09.25,23.08.24,,,CPWD,40,,577.34,577.34,0.20104887799306323,In progress,,,,,,,,,,,,,,,,
ENG-1761419859723-1312,TC Samba,OB(BS),Umbrella 2021-26,T/Camp Samba,Jammu,I/NAGAR,,C/O of infrastructure for Transit Camp at BSF Campus ; Sambha under SHQ BSF I/Nagar(SH:development of works (internal roads; UG sump well; STP; Tube well with Pump house; substation building; Sentry Posts & 62.50 KVA DG Set etc),CPWD,FHQ O/no 8097-06 dtd 28/11/2023,665.49,,,"i) LOP of Transit Camp has been approved and same provided to CPWD for their necessary action.
ii)  Tender formalities under process and work will be started by Sept' 2025",2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,,,,,,,CPWD,,,,,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-1313,TC Samba,OB(BS),Umbrella 2021-26,T/Camp Samba,STC U/PUR,U/PUR,,C/O of inftrastructure (C/O Quarter Guard; adm Block; Training block & 120 Men Jawan Barrack  at STC BSF  Udhampur,CPWD,MHA O/No 27012/62/2023/PF-V/3658896 dtd 26/11/2024 conveyed by FHQ vide O/No 7495-7505 dtd 27/11/2024,3977.21,2025-05-19,2025-05-26,"1. Adm Block and Qtr Guard work in progress.

2. Codal formalities for Trg Block and Jawan Barrack under process by CPWD.",2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,2025-06-30,,,2025-07-24,,,CPWD,2,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-1314,OLD OB,OB(BS),,Old Schmes,Kashmir,FTR KMR,,Providing and fixing gantry crane with guide rails; sliding Gate; Bird wire mesh and PU coating on floor on the existing Hanger portion of Air Base at BSF campus Humhama; SGR,CPWD,"O/No.119/116/2014-Engg/BSF/4473-84 dated 12/03/2015

117.14

Revised sanction O/No. 119/116/2014-Engg/BSF/1283-94 dated 08.12.15
159.60

Re-revised sanction
O/No.119/116/2014-Engg/BSF/3010-21 dated 18/05/2023 261.96",261.96,2025-06-28,2021-11-10,"During the PMC meeting on 12.09.2025; EE; CPWD replied that; whole work will be completed and handed over by 15.10.2025. 
 
It has also intimated that; tender for load testing of gantry crane also opened on 12.09.2025 and work will be completed in 15 days. 
",2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,2021-12-12,90,22.02.2022,2021-12-16,,,"Sh Mohd Shafi Dagga (P/F Bird wire mesh)
",65,69.18,0,69.18,24.39,,,,,,,,,,,,,,,,,
ENG-1761419859723-1315,OLD OB,OB(BS),,Old Schmes,Kashmir,FTR KMR,,C/O Boundary wall with barbed wire fencing i.e. 12 Nos OP cum living bunker with toilets facilities etc and new road along boundary wall all complete at campus Humhama,CPWD,"FHQ/119/88/2015/Engg/ BSF/192-201 dtd 28/01/2016  for Rs.599.92

Revised Sanction O/No.119/88/2015-Engg/BSF/8107-16 dated 28/11/2023.",1334.2,02.03.16,01.06.24,"Work reassumed in July’ 2024 is in progress. Appox 2000 Mtr perimeter road work completed. 80% of boundary wall completed and remaining work is in progress.      
During the PMC meeting on 12.09.25 EE; CPWD intimated that shortcomings in the executed portion of work noted for rectification and compliance. EPF panel work awarded and started soon.
",2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,21.07.24,180,18.11.2016,21.07.24,2025-10-30,,M/S Alliiance  Constructions,85,820.42,0,820.42,61.49,,,,,,,,,,,,,,,,,
ENG-1761419859723-1316,OLD OB,OB(BS),,Old Schmes,Kashmir,BLA,,"C/O Boundary wall with barbed wire fencing including 9 Nos OP cum living bunker and 5 Nos steel gate at BSF campus Baramulla (Length of wall is 3758 meter)
(SH: Re-Construction of damaged boundary wall at BSF Campus Singhpura)
",CPWD,"O/No. 119/01/2002-Engg/BSF/6184-93 dated 17/06/2002. 127.85 Lakh 

Revised Sanction vide O/No. 119/01/2009-Engg/BSF/12146-54 dated 26/09/2012 -305.04 Lakh 
",305.04,2013-01-09,2013-01-09,"100% work completed.   
Work has not been taken over from CPWD due to collapsed/damaged/tilted 758 Mtr boundary wall.   Completed portion of 2074.15 mtr boundary wall was taken over from CPWD with few observation on 31/08/2023 and discrepancies/shortcomings were informed to CPWD dtd 11/09/2023 for rectification at the earliest.  Re-revised estimate of Rs. 612.87 lakh for reconstruction of collapsed 758 Mtr Boundary wall has been received from CPWD dtd 16/08/2023 and estimate alongwith RCC/SCERC proceedings was submitted to FHQ (Engg) vide this HQ L/No.3210-12 dtd 31/10/2023 for re-revised sanction.  SHQ BLA has  advised to obtain add info/ clarification  sought by HQ DG BSF(Engg Dte) vide Sig No. E/2447dtd 06/05/2025 from CPWD. 
   During the PMC meeting on 12.09.2025; EE; CPWD replied that; reply has been prepared and pending with their circle office and reply will be submitted BSF by 15.09.2025 & still awaited. 
sanction. 

SHQ BLA has advised to obtain add info/clarification sought by HQ DG (Engg Dte) vide Sig No. E/2447 dtd 05/05/2025 from CPWD and shared same of earliest. CPWD may provide the info asap to enable further submission to higher HQ.",2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,2013-05-09,,05.01.2014,14/06/2013,04.09.15,05.01.14,M/S Shann Construction Co.,100,133.86,196.03,329.89,108.17,,,,,,,,,,,,,,,,,
ENG-1761419859723-1317,OLD OB,OB(BS),,Old Schmes,Kashmir,FTR KMR,,C/O Adm block and Comn block at Ftr HQr BSF Srinagar; Humhama.,State PWD,"O/No.119/12/2009-Engg/BSF/PF-V/17933-37 dtd 19/09/2011 



Revised Sanction O/no. 119-12/2009/ Engg/BSF/8908-20 dtd 27/08/2024.
1982.39 Lakh",1982.39,07.01.25,25.08.24,"Left & right wing have been almost completed & Skelton of central portion has been also completed and remaining brick/flooring/ finishing work under progress. During the PMC Meeting  on 12.09.2025; EE(Civil); PWD replied that; all efforts in tact for completion of work by 31.03.2025.
",2025-10-25T19:17:42.246Z,2025-10-25T19:17:42.246Z,17.07.12,730,13.08.2015,2012-07-16,30.06.26,30.06.26,M/S Alliiance  Constructions,33,570.74,82.28,653.02,28.79,,,,,,,,,,,,,,,,,
